current,target,value
0.9,0.2,0.0076067154
0.9,0.25,0.007613652
0.9,0.3,0.0075562024
0.9,0.35,0.0074273497
0.9,0.4,0.0072233877
0.9,0.45,0.006910948
0.9,0.5,0.006477084
0.9,0.55,0.0059114355
0.9,0.6,0.005185376
0.9,0.65,0.004373791
0.9,0.7,0.0034824118
0.9,0.75,0.0025493577
0.9,0.8,0.001635006
0.9,0.85,0.00075131026
0.9,0.9,-6.600228e-05
0.85,0.2,0.007244961
0.85,0.25,0.0072529586
0.85,0.3,0.007194716
0.85,0.35,0.0070535536
0.85,0.4,0.006824435
0.85,0.45,0.006478587
0.85,0.5,0.0060024583
0.85,0.55,0.0053744684
0.85,0.6,0.0045772763
0.85,0.65,0.0036857706
0.85,0.7,0.0027030127
0.85,0.75,0.0016860133
0.85,0.8,0.0006847204
0.85,0.85,-0.00027790124
0.85,0.9,-0.0011719988
0.8,0.2,0.0068681776
0.8,0.25,0.0068809264
0.8,0.3,0.0068164174
0.8,0.35,0.0066602924
0.8,0.4,0.0064073615
0.8,0.45,0.006029808
0.8,0.5,0.0055111875
0.8,0.55,0.0048324154
0.8,0.6,0.003976188
0.8,0.65,0.0030187638
0.8,0.7,0.0019760253
0.8,0.75,0.00089109136
0.8,0.8,-0.00017290555
0.8,0.85,-0.0011970667
0.8,0.9,-0.002142724
0.75,0.2,0.0060164584
0.75,0.25,0.0060196733
0.75,0.3,0.0059388406
0.75,0.35,0.0057654697
0.75,0.4,0.0054862713
0.75,0.45,0.005069107
0.75,0.5,0.004512963
0.75,0.55,0.0037899148
0.75,0.6,0.0028889761
0.75,0.65,0.0018879978
0.75,0.7,0.00080161606
0.75,0.75,-0.0003258381
0.75,0.8,-0.001426262
0.75,0.85,-0.0024845642
0.75,0.9,-0.0034607486
0.7,0.2,0.0050946157
0.7,0.25,0.0050911983
0.7,0.3,0.0049990476
0.7,0.35,0.004814179
0.7,0.4,0.0045050355
0.7,0.45,0.0040782653
0.7,0.5,0.0034903162
0.7,0.55,0.0027531984
0.7,0.6,0.0018381492
0.7,0.65,0.00083234155
0.7,0.7,-0.0002555152
0.7,0.75,-0.0013770498
0.7,0.8,-0.002470666
0.7,0.85,-0.0035202908
0.7,0.9,-0.004484268
0.65,0.2,0.0039386367
0.65,0.25,0.0039193965
0.65,0.3,0.003797602
0.65,0.35,0.003571926
0.65,0.4,0.0032369536
0.65,0.45,0.0027699554
0.65,0.5,0.0021740166
0.65,0.55,0.001437052
0.65,0.6,0.00054846826
0.65,0.65,-0.00041486046
0.65,0.7,-0.0014508234
0.65,0.75,-0.0025047134
0.65,0.8,-0.0035296502
0.65,0.85,-0.0045116665
0.65,0.9,-0.005408181
0.6,0.2,0.0029108657
0.6,0.25,0.0028791684
0.6,0.3,0.002728404
0.6,0.35,0.0024701639
0.6,0.4,0.0020825134
0.6,0.45,0.0015957913
0.6,0.5,0.0009905145
0.6,0.55,0.00026564783
0.6,0.6,-0.00057774846
0.6,0.65,-0.0014841052
0.6,0.7,-0.002434609
0.6,0.75,-0.0033979688
0.6,0.8,-0.00432757
0.6,0.85,-0.005212102
0.6,0.9,-0.006019787
0.55,0.2,0.0025735172
0.55,0.25,0.0025205123
0.55,0.3,0.0023245243
0.55,0.35,0.0020027421
0.55,0.4,0.0015611337
0.55,0.45,0.0010285072
0.55,0.5,0.0004195107
0.55,0.55,-0.00027978668
0.55,0.6,-0.0010619238
0.55,0.65,-0.0018669744
0.55,0.7,-0.0027020723
0.55,0.75,-0.0035374544
0.55,0.8,-0.0043312465
0.55,0.85,-0.0050853216
0.55,0.9,-0.0057696267
0.5,0.2,0.00205334
0.5,0.25,0.0019305979
0.5,0.3,0.0016413359
0.5,0.35,0.0012531244
0.5,0.4,0.0007475546
0.5,0.45,0.00017377158
0.5,0.5,-0.00043838104
0.5,0.55,-0.0011108586
0.5,0.6,-0.0018133625
0.5,0.65,-0.0025192664
0.5,0.7,-0.0032341322
0.5,0.75,-0.0039303526
0.5,0.8,-0.0045917043
0.5,0.85,-0.005205444
0.5,0.9,-0.005772441
0.45,0.2,0.0019388957
0.45,0.25,0.0017195808
0.45,0.3,0.0013281272
0.45,0.35,0.00086964027
0.45,0.4,0.00031471482
0.45,0.45,-0.00026512935
0.45,0.5,-0.0008468204
0.45,0.55,-0.0013992201
0.45,0.6,-0.001974048
0.45,0.65,-0.0025023082
0.45,0.7,-0.0030249949
0.45,0.75,-0.0035297945
0.45,0.8,-0.003994926
0.45,0.85,-0.004427103
0.45,0.9,-0.0048103677
0.4,0.2,0.0014601568
0.4,0.25,0.0011032078
0.4,0.3,0.0006097546
0.4,0.35,3.5270263e-05
0.4,0.4,-0.00060927856
0.4,0.45,-0.0012310331
0.4,0.5,-0.0018106851
0.4,0.55,-0.0023599863
0.4,0.6,-0.002884414
0.4,0.65,-0.0033512996
0.4,0.7,-0.0037908175
0.4,0.75,-0.00420922
0.4,0.8,-0.0045980187
0.4,0.85,-0.004969086
0.4,0.9,-0.005284044
0.35,0.2,0.0013120747
0.35,0.25,0.00081268337
0.35,0.3,0.00018503882
0.35,0.35,-0.0004337508
0.35,0.4,-0.0011030474
0.35,0.45,-0.0017166275
0.35,0.5,-0.002247283
0.35,0.55,-0.002715234
0.35,0.6,-0.0031314397
0.35,0.65,-0.0034999622
0.35,0.7,-0.0038181264
0.35,0.75,-0.00412331
0.35,0.8,-0.004395844
0.35,0.85,-0.0046344544
0.35,0.9,-0.0048604454
0.3,0.2,0.00058959954
0.3,0.25,-0.00013865603
0.3,0.3,-0.00086448906
0.3,0.35,-0.0015442942
0.3,0.4,-0.0022133484
0.3,0.45,-0.002764975
0.3,0.5,-0.003240304
0.3,0.55,-0.0035702176
0.3,0.6,-0.0038959016
0.3,0.65,-0.004161033
0.3,0.7,-0.004405962
0.3,0.75,-0.0046123276
0.3,0.8,-0.0047844285
0.3,0.85,-0.004990869
0.3,0.9,-0.0051314384
0.25,0.2,0.0007052688
0.25,0.25,-5.383423e-05
0.25,0.3,-0.00081521994
0.25,0.35,-0.0014331755
0.25,0.4,-0.0020322627
0.25,0.45,-0.0025075297
0.25,0.5,-0.0028312374
0.25,0.55,-0.0031146086
0.25,0.6,-0.0033566137
0.25,0.65,-0.0035439804
0.25,0.7,-0.0037342424
0.25,0.75,-0.0038831905
0.25,0.8,-0.0040003136
0.25,0.85,-0.004176285
0.25,0.9,-0.0042867484
0.2,0.2,0.0010165727
0.2,0.25,7.6907876e-05
0.2,0.3,-0.0007560308
0.2,0.35,-0.0012847534
0.2,0.4,-0.0017528804
0.2,0.45,-0.0020925058
0.2,0.5,-0.0022440285
0.2,0.55,-0.0022827093
0.2,0.6,-0.0023187902
0.2,0.65,-0.0023382735
0.2,0.7,-0.0023371815
0.2,0.75,-0.0023182437
0.2,0.8,-0.0022532225
0.2,0.85,-0.0022927795
0.2,0.9,-0.0022507347
