current,target,value
0.9,0.2,0.003870343
0.9,0.25,0.0038976497
0.9,0.3,0.003923605
0.9,0.35,0.003940693
0.9,0.4,0.0039431406
0.9,0.45,0.0039203567
0.9,0.5,0.0038653717
0.9,0.55,0.0037760579
0.9,0.6,0.0036507172
0.9,0.65,0.0035046893
0.9,0.7,0.0033404983
0.9,0.75,0.0031679221
0.9,0.8,0.003000214
0.9,0.85,0.002840933
0.9,0.9,0.002694864
0.85,0.2,0.0040239217
0.85,0.25,0.0040567513
0.85,0.3,0.0040873317
0.85,0.35,0.004106523
0.85,0.4,0.0041076704
0.85,0.45,0.0040794103
0.85,0.5,0.004015038
0.85,0.55,0.003912827
0.85,0.6,0.0037721135
0.85,0.65,0.0036100266
0.85,0.7,0.0034297141
0.85,0.75,0.0032415634
0.85,0.8,0.0030597823
0.85,0.85,0.002888292
0.85,0.9,0.0027316695
0.8,0.2,0.003941729
0.8,0.25,0.003980131
0.8,0.3,0.004014643
0.8,0.35,0.0040349113
0.8,0.4,0.004032532
0.8,0.45,0.0039973566
0.8,0.5,0.0039232317
0.8,0.55,0.0038091023
0.8,0.6,0.0036558674
0.8,0.65,0.003482847
0.8,0.7,0.0032929608
0.8,0.75,0.003097148
0.8,0.8,0.00290949
0.8,0.85,0.0027339763
0.8,0.9,0.002574807
0.75,0.2,0.003542546
0.75,0.25,0.0035863796
0.75,0.3,0.0036234825
0.75,0.35,0.0036422084
0.75,0.4,0.0036332076
0.75,0.45,0.0035884697
0.75,0.5,0.0035045492
0.75,0.55,0.0033811987
0.75,0.6,0.0032214087
0.75,0.65,0.0030458348
0.75,0.7,0.0028571337
0.75,0.75,0.002665659
0.75,0.8,0.0024844809
0.75,0.85,0.0023173543
0.75,0.9,0.0021671678
0.7,0.2,0.0027589048
0.7,0.25,0.0028067697
0.7,0.3,0.0028436568
0.7,0.35,0.0028567954
0.7,0.4,0.0028364172
0.7,0.45,0.0027797152
0.7,0.5,0.0026864645
0.7,0.55,0.0025580875
0.7,0.6,0.002400488
0.7,0.65,0.002234543
0.7,0.7,0.0020620765
0.7,0.75,0.0018916654
0.7,0.8,0.0017336586
0.7,0.85,0.0015913679
0.7,0.9,0.0014656731
0.65,0.2,0.0015713845
0.65,0.25,0.0016202476
0.65,0.3,0.0016517289
0.65,0.35,0.0016528431
0.65,0.4,0.0016149555
0.65,0.45,0.0015429878
0.65,0.5,0.0014414357
0.65,0.55,0.0013143492
0.65,0.6,0.0011706388
0.65,0.65,0.0010297851
0.65,0.7,0.00089182955
0.65,0.75,0.00076231617
0.65,0.8,0.00064738083
0.65,0.85,0.00054901047
0.65,0.9,0.0004654098
0.6,0.2,3.9476814e-05
0.6,0.25,8.3803585e-05
0.6,0.3,0.00010167236
0.6,0.35,8.1383165e-05
0.6,0.4,1.7757102e-05
0.6,0.45,-7.3624906e-05
0.6,0.5,-0.00018234662
0.6,0.55,-0.0003008828
0.6,0.6,-0.00041788482
0.6,0.65,-0.00051736546
0.6,0.7,-0.0006017376
0.6,0.75,-0.00067024765
0.6,0.8,-0.0007225795
0.6,0.85,-0.0007584493
0.6,0.9,-0.00078307727
0.55,0.2,-0.0017008047
0.55,0.25,-0.0016708795
0.55,0.3,-0.0016785244
0.55,0.35,-0.0017322005
0.55,0.4,-0.0018305605
0.55,0.45,-0.0019451536
0.55,0.5,-0.0020590774
0.55,0.55,-0.0021610467
0.55,0.6,-0.0022386545
0.55,0.65,-0.0022816164
0.55,0.7,-0.002295824
0.55,0.75,-0.002286865
0.55,0.8,-0.002260929
0.55,0.85,-0.002219994
0.55,0.9,-0.0021730787
0.5,0.2,-0.0034170814
0.5,0.25,-0.0034164288
0.5,0.3,-0.003464888
0.5,0.35,-0.0035653554
0.5,0.4,-0.0037065372
0.5,0.45,-0.003846648
0.5,0.5,-0.0039635063
0.5,0.55,-0.0040420806
0.5,0.6,-0.0040713674
0.5,0.65,-0.0040486115
0.5,0.7,-0.0039839256
0.5,0.75,-0.003890617
0.5,0.8,-0.0037804483
0.5,0.85,-0.003658328
0.5,0.9,-0.003536675
0.45,0.2,-0.0047863265
0.45,0.25,-0.0048382264
0.45,0.3,-0.0049476386
0.45,0.35,-0.0051088673
0.45,0.4,-0.00529753
0.45,0.45,-0.005463152
0.45,0.5,-0.00558036
0.45,0.55,-0.0056315744
0.45,0.6,-0.0056108194
0.45,0.65,-0.0055235485
0.45,0.7,-0.005384261
0.45,0.75,-0.005214186
