current,target,value
0.9,0.2,0.005719367
0.9,0.25,0.0057389066
0.9,0.3,0.0057067918
0.9,0.35,0.0056128385
0.9,0.4,0.005457208
0.9,0.45,0.0052039167
0.9,0.5,0.004841854
0.9,0.55,0.004353521
0.9,0.6,0.0037247646
0.9,0.65,0.0030101652
0.9,0.7,0.0022216314
0.9,0.75,0.0013945895
0.9,0.8,0.00058473885
0.9,0.85,-0.00019877525
0.9,0.9,-0.00092367304
0.85,0.2,0.0058372207
0.85,0.25,0.0058602374
0.85,0.3,0.005828271
0.85,0.35,0.005728203
0.85,0.4,0.005560631
0.85,0.45,0.0052872766
0.85,0.5,0.004894665
0.85,0.55,0.004366085
0.85,0.6,0.0036861568
0.85,0.65,0.0029165063
0.85,0.7,0.0020680563
0.85,0.75,0.0011809899
0.85,0.8,0.0003118249
0.85,0.85,-0.000525889
0.85,0.9,-0.0013022918
0.8,0.2,0.005171448
0.8,0.25,0.0051994016
0.8,0.3,0.005165806
0.8,0.35,0.0050570956
0.8,0.4,0.004871937
0.8,0.45,0.004570049
0.8,0.5,0.0041406653
0.8,0.55,0.0035632951
0.8,0.6,0.0028252143
0.8,0.65,0.0019941232
0.8,0.7,0.0010803546
0.8,0.75,0.00012754736
0.8,0.8,-0.00080419384
0.8,0.85,-0.0017015993
0.8,0.9,-0.0025307578
0.75,0.2,0.0036534162
0.75,0.25,0.0036741844
0.75,0.3,0.0036278816
0.75,0.35,0.003498673
0.75,0.4,0.0032847559
0.75,0.45,0.0029457551
0.75,0.5,0.00247237
0.75,0.55,0.0018462109
0.75,0.6,0.0010572524
0.75,0.65,0.0001736467
0.75,0.7,-0.0007921194
0.75,0.75,-0.0017968081
0.75,0.8,-0.0027741704
0.75,0.85,-0.0037143677
0.75,0.9,-0.0045816293
0.7,0.2,0.0038743413
0.7,0.25,0.0038937326
0.7,0.3,0.0038400409
0.7,0.35,0.0037006575
0.7,0.4,0.0034737492
0.7,0.45,0.0031248801
0.7,0.5,0.0026470048
0.7,0.55,0.0020246285
0.7,0.6,0.001249613
0.7,0.65,0.00039071642
0.7,0.7,-0.00054141734
0.7,0.75,-0.0015046465
0.7,0.8,-0.0024403667
0.7,0.85,-0.0033367926
0.7,0.9,-0.004159705
0.65,0.2,0.0030596221
0.65,0.25,0.0030641342
0.65,0.3,0.0029838844
0.65,0.35,0.0028122154
0.65,0.4,0.0025505705
0.65,0.45,0.0021728217
0.65,0.5,0.0016799851
0.65,0.55,0.0010582973
0.65,0.6,0.00030454533
0.65,0.65,-0.0005167151
0.65,0.7,-0.0013974282
0.65,0.75,-0.0022993882
0.65,0.8,-0.0031694563
0.65,0.85,-0.0040024864
0.65,0.9,-0.0047636903
0.6,0.2,0.002335124
0.6,0.25,0.0023113163
0.6,0.3,0.0021940642
0.6,0.35,0.0019825217
0.6,0.4,0.0016749131
0.6,0.45,0.0012667644
0.6,0.5,0.0007662619
0.6,0.55,0.00015923068
0.6,0.6,-0.0005483489
0.6,0.65,-0.001302885
0.6,0.7,-0.0020966707
0.6,0.75,-0.002901355
0.6,0.8,-0.0036727476
0.6,0.85,-0.004403711
0.6,0.9,-0.005071482
0.55,0.2,0.0020916215
0.55,0.25,0.0020342134
0.55,0.3,0.0018671401
0.55,0.35,0.001603015
0.55,0.4,0.0012457551
0.55,0.45,0.0008093066
0.55,0.5,0.0003130702
0.55,0.55,-0.0002562775
0.55,0.6,-0.0008900878
0.55,0.65,-0.0015425638
0.55,0.7,-0.002212042
0.55,0.75,-0.0028770554
0.55,0.8,-0.003504437
0.55,0.85,-0.004092327
0.55,0.9,-0.004628467
0.5,0.2,0.0016663014
0.5,0.25,0.0015577953
0.5,0.3,0.0013169888
0.5,0.35,0.0009893677
0.5,0.4,0.00057223986
0.5,0.45,0.00010139719
0.5,0.5,-0.00038663947
0.5,0.55,-0.0009040498
0.5,0.6,-0.0014461809
0.5,0.65,-0.001973415
0.5,0.7,-0.0024924283
0.5,0.75,-0.0029953357
0.5,0.8,-0.0034638944
0.5,0.85,-0.003894453
0.5,0.9,-0.004286347
0.45,0.2,0.0013881517
0.45,0.25,0.0011954192
0.45,0.3,0.00085489487
0.45,0.35,0.0004459527
0.45,0.4,-3.9256272e-05
0.45,0.45,-0.00054588646
0.45,0.5,-0.001028518
0.45,0.55,-0.0015028229
0.45,0.6,-0.0019624336
0.45,0.65,-0.002379043
0.45,0.7,-0.002770732
0.45,0.75,-0.00313556
0.45,0.8,-0.003471625
0.45,0.85,-0.0037759745
0.45,0.9,-0.004045829
0.4,0.2,0.0017006487
0.4,0.25,0.001380031
0.4,0.3,0.00091439066
0.4,0.35,0.00040472782
0.4,0.4,-0.00015139021
0.4,0.45,-0.00067780615
0.4,0.5,-0.0011554781
0.4,0.55,-0.0015775405
0.4,0.6,-0.0019625216
0.4,0.65,-0.0022824216
0.4,0.7,-0.0025679658
0.4,0.75,-0.0028245691
0.4,0.8,-0.0030540656
0.4,0.85,-0.00325731
0.4,0.9,-0.0034381303
0.35,0.2,0.001823556
0.35,0.25,0.0013563974
0.35,0.3,0.0007692945
0.35,0.35,0.00018263678
0.35,0.4,-0.0004068255
0.35,0.45,-0.0009280509
0.35,0.5,-0.0013602624
0.35,0.55,-0.0017109222
0.35,0.6,-0.0020029228
0.35,0.65,-0.002224685
0.35,0.7,-0.0024049447
0.35,0.75,-0.0025592523
0.35,0.8,-0.0026786714
0.35,0.85,-0.0027854433
0.35,0.9,-0.002881304
0.3,0.2,0.0015822131
0.3,0.25,0.00093512057
0.3,0.3,0.0002469478
0.3,0.35,-0.00038860063
0.3,0.4,-0.0009553221
0.3,0.45,-0.0014295739
0.3,0.5,-0.0017894339
0.3,0.55,-0.002058266
0.3,0.6,-0.0022760073
0.3,0.65,-0.0024255652
0.3,0.7,-0.0025442028
0.3,0.75,-0.0026405812
0.3,0.8,-0.0027137753
0.3,0.85,-0.0027845409
0.3,0.9,-0.0028534
0.25,0.2,0.0007957726
0.25,0.25,-5.4598786e-06
0.25,0.3,-0.00074663723
0.25,0.35,-0.0013853007
0.25,0.4,-0.0018962077
0.25,0.45,-0.0023007018
0.25,0.5,-0.0025614311
0.25,0.55,-0.002751641
0.25,0.6,-0.002904214
0.25,0.65,-0.003010159
0.25,0.7,-0.0030893856
0.25,0.75,-0.0031749667
0.25,0.8,-0.0032172713
0.25,0.85,-0.0032903703
0.25,0.9,-0.0033524968
0.2,0.2,0.0010614407
0.2,0.25,0.00017694832
0.2,0.3,-0.0005090132
0.2,0.35,-0.0010561934
0.2,0.4,-0.0013936479
0.2,0.45,-0.0016692263
0.2,0.5,-0.0017859743
0.2,0.55,-0.001855743
0.2,0.6,-0.0018989266
0.2,0.65,-0.0019223624
0.2,0.7,-0.0019496445
0.2,0.75,-0.0019682832
0.2,0.8,-0.0019565746
0.2,0.85,-0.0019979144
0.2,0.9,-0.0020254166
