current,target,value
0.9,0.2,0.0032624006
0.9,0.25,0.0033012815
0.9,0.3,0.003320206
0.9,0.35,0.003303819
0.9,0.4,0.0032492992
0.9,0.45,0.003127078
0.9,0.5,0.002922699
0.9,0.55,0.0026216896
0.9,0.6,0.002213784
0.9,0.65,0.001738878
0.9,0.7,0.0012055885
0.9,0.75,0.0006423894
0.9,0.8,8.866235e-05
0.9,0.85,-0.0004447027
0.9,0.9,-0.00093728007
0.85,0.2,0.0034275297
0.85,0.25,0.0034709328
0.85,0.3,0.0034918322
0.85,0.35,0.003473794
0.85,0.4,0.0034114833
0.85,0.45,0.0032746235
0.85,0.5,0.0030489117
0.85,0.55,0.0027191718
0.85,0.6,0.0022760988
0.85,0.65,0.0017626855
0.85,0.7,0.0011886347
0.85,0.75,0.00058499264
0.85,0.8,-7.723064e-06
0.85,0.85,-0.0005766646
0.85,0.9,-0.0011015026
0.8,0.2,0.0028227968
0.8,0.25,0.0028692407
0.8,0.3,0.002888499
0.8,0.35,0.0028634802
0.8,0.4,0.0027872752
0.8,0.45,0.002629982
0.8,0.5,0.002376535
0.8,0.55,0.0020113704
0.8,0.6,0.0015268894
0.8,0.65,0.00096995593
0.8,0.7,0.00035050206
0.8,0.75,-0.0002976871
0.8,0.8,-0.0009325549
0.8,0.85,-0.0015403031
0.8,0.9,-0.0020988425
0.75,0.2,0.001504924
0.75,0.25,0.0015528369
0.75,0.3,0.0015687008
0.75,0.35,0.0015332423
0.75,0.4,0.001438789
0.75,0.45,0.0012558923
0.75,0.5,0.00097145647
0.75,0.55,0.0005690218
0.75,0.6,4.2938264e-05
0.75,0.65,-0.0005556847
0.75,0.7,-0.001217308
0.75,0.75,-0.0019061305
0.75,0.8,-0.0025783689
0.75,0.85,-0.003219615
0.75,0.9,-0.0038073636
0.7,0.2,0.0020595952
0.7,0.25,0.0021046982
0.7,0.3,0.0021121916
0.7,0.35,0.002065661
0.7,0.4,0.0019565758
0.7,0.45,0.0017635061
0.7,0.5,0.0014765493
0.7,0.55,0.0010828285
0.7,0.6,0.0005808369
0.7,0.65,1.9316754e-05
0.7,0.7,-0.00059441273
0.7,0.75,-0.0012270808
0.7,0.8,-0.0018414113
0.7,0.85,-0.0024232948
0.7,0.9,-0.002954424
0.65,0.2,0.0017194047
0.65,0.25,0.0017509917
0.65,0.3,0.0017366855
0.65,0.35,0.0016635674
0.65,0.4,0.0015245926
0.65,0.45,0.0013068537
0.65,0.5,0.0010086249
0.65,0.55,0.0006185026
0.65,0.6,0.00013758101
0.65,0.65,-0.00038608877
0.65,0.7,-0.0009491777
0.65,0.75,-0.0015222727
0.65,0.8,-0.0020732277
0.65,0.85,-0.002592142
0.65,0.9,-0.0030625402
0.6,0.2,0.0012757158
0.6,0.25,0.001281997
0.6,0.3,0.0012306649
0.6,0.35,0.001113143
0.6,0.4,0.0009280554
0.6,0.45,0.0006768525
0.6,0.5,0.00036591137
0.6,0.55,-1.3955589e-05
0.6,0.6,-0.00045572978
0.6,0.65,-0.00091879506
0.6,0.7,-0.0014043765
0.6,0.75,-0.0018885222
0.6,0.8,-0.0023484628
0.6,0.85,-0.0027771303
0.6,0.9,-0.0031615472
0.55,0.2,0.0012951421
0.55,0.25,0.0012713207
0.55,0.3,0.0011768225
0.55,0.35,0.0010113065
0.55,0.4,0.00078027183
0.55,0.45,0.000502261
0.55,0.5,0.00019189648
0.55,0.55,-0.00015535961
0.55,0.6,-0.00052840094
0.55,0.65,-0.00089741976
0.55,0.7,-0.0012681301
0.55,0.75,-0.0016239021
0.55,0.8,-0.001953677
0.55,0.85,-0.0022550006
0.55,0.9,-0.0025203347
0.5,0.2,0.0012703182
0.5,0.25,0.0011962904
0.5,0.3,0.0010367084
0.5,0.35,0.0008021477
0.5,0.4,0.0005116358
0.5,0.45,0.00019942952
0.5,0.5,-0.00011130909
0.5,0.55,-0.0004244714
0.5,0.6,-0.0007264451
0.5,0.65,-0.0009982899
0.5,0.7,-0.0012523964
0.5,0.75,-0.001481218
0.5,0.8,-0.0016845919
0.5,0.85,-0.0018630959
0.5,0.9,-0.002014321
0.45,0.2,0.0013304243
0.45,0.25,0.0011710975
0.45,0.3,0.0009106693
0.45,0.35,0.0005765509
0.45,0.4,0.00020429406
0.45,0.45,-0.00016079332
0.45,0.5,-0.0004873149
0.45,0.55,-0.00078005495
0.45,0.6,-0.0010263866
0.45,0.65,-0.0012173248
0.45,0.7,-0.0013754688
0.45,0.75,-0.0014981034
0.45,0.8,-0.0015973358
0.45,0.85,-0.0016765886
0.45,0.9,-0.001735168
0.4,0.2,0.0014904765
0.4,0.25,0.0012208981
0.4,0.3,0.0008463087
0.4,0.35,0.0004131246
0.4,0.4,-2.5177624e-05
0.4,0.45,-0.00042104404
0.4,0.5,-0.00074471836
0.4,0.55,-0.0009981726
0.4,0.6,-0.0011805415
0.4,0.65,-0.0012938074
0.4,0.7,-0.0013634628
0.4,0.75,-0.0013947762
0.4,0.8,-0.0014066729
0.4,0.85,-0.0014050202
0.4,0.9,-0.0013897992
0.35,0.2,0.0015533209
0.35,0.25,0.0011322214
0.35,0.3,0.000624363
0.35,0.35,0.00010060393
0.35,0.4,-0.00038342975
0.35,0.45,-0.00079239695
0.35,0.5,-0.0010993615
0.35,0.55,-0.001315798
0.35,0.6,-0.0014494131
0.35,0.65,-0.0015100345
0.35,0.7,-0.0015247157
0.35,0.75,-0.0015024878
0.35,0.8,-0.0014660812
0.35,0.85,-0.0014231973
0.35,0.9,-0.0013705716
0.3,0.2,0.0013289228
0.3,0.25,0.0007367931
0.3,0.3,0.00010649915
0.3,0.35,-0.0004794714
0.3,0.4,-0.0009696111
0.3,0.45,-0.0013611831
0.3,0.5,-0.0016305811
0.3,0.55,-0.0018070689
0.3,0.6,-0.0019111786
0.3,0.65,-0.001947611
0.3,0.7,-0.0019509952
0.3,0.75,-0.0019241264
0.3,0.8,-0.0018852887
0.3,0.85,-0.0018525514
0.3,0.9,-0.0018056905
0.25,0.2,0.0008496903
0.25,0.25,7.969083e-05
0.25,0.3,-0.00064477546
0.25,0.35,-0.0012390967
0.25,0.4,-0.0016822931
0.25,0.45,-0.0020140496
0.25,0.5,-0.0022107945
0.25,0.55,-0.002323287
0.25,0.6,-0.0023808142
0.25,0.65,-0.0023850459
0.25,0.7,-0.0023694113
0.25,0.75,-0.0023336764
0.25,0.8,-0.0022829287
0.25,0.85,-0.0022555315
0.25,0.9,-0.0022076676
0.2,0.2,-0.0001850619
0.2,0.25,-0.0010432085
0.2,0.3,-0.0017704479
0.2,0.35,-0.0022983726
0.2,0.4,-0.0026637793
0.2,0.45,-0.0029114964
0.2,0.5,-0.003027787
0.2,0.55,-0.0030818551
0.2,0.6,-0.0030945714
0.2,0.65,-0.0030772174
0.2,0.7,-0.0030599847
0.2,0.75,-0.003023387
0.2,0.8,-0.0029765388
0.2,0.85,-0.0029552418
0.2,0.9,-0.0029163617
