current,target,value
0.9,0.2,0.007239175
0.9,0.25,0.0072628725
0.9,0.3,0.0072759097
0.9,0.35,0.007267828
0.9,0.4,0.0072363927
0.9,0.45,0.0071631656
0.9,0.5,0.007040066
0.9,0.55,0.0068597062
0.9,0.6,0.00661895
0.9,0.65,0.00634029
0.9,0.7,0.0060308725
0.9,0.75,0.0057055685
0.9,0.8,0.0053871227
0.9,0.85,0.00508235
0.9,0.9,0.004801732
0.85,0.2,0.007684057
0.85,0.25,0.007711914
0.85,0.3,0.007727046
0.85,0.35,0.007717581
0.85,0.4,0.0076797307
0.85,0.45,0.007595652
0.85,0.5,0.0074557215
0.85,0.55,0.007253324
0.85,0.6,0.006985741
0.85,0.65,0.0066783484
0.85,0.7,0.006339533
0.85,0.75,0.0059850807
0.85,0.8,0.0056390446
0.85,0.85,0.005309633
0.85,0.9,0.005006464
0.8,0.2,0.007846041
0.8,0.25,0.007878167
0.8,0.3,0.007895099
0.8,0.35,0.007883588
0.8,0.4,0.007838217
0.8,0.45,0.007741839
0.8,0.5,0.0075859185
0.8,0.55,0.007363832
0.8,0.6,0.007074516
0.8,0.65,0.0067459224
0.8,0.7,0.0063869557
0.8,0.75,0.006014169
0.8,0.8,0.005652209
0.8,0.85,0.0053088167
0.8,0.9,0.0049942015
0.75,0.2,0.0076881186
0.75,0.25,0.00772087
0.75,0.3,0.007734951
0.75,0.35,0.0077155367
0.75,0.4,0.0076580243
0.75,0.45,0.0075456295
0.75,0.5,0.007373728
0.75,0.55,0.0071356604
0.75,0.6,0.006833354
0.75,0.65,0.006495504
0.75,0.7,0.0061310492
0.75,0.75,0.0057563027
0.75,0.8,0.0053949095
0.75,0.85,0.005054389
0.75,0.9,0.0047446806
0.7,0.2,0.007184982
0.7,0.25,0.007217827
0.7,0.3,0.00722642
0.7,0.35,0.007195936
0.7,0.4,0.0071214656
0.7,0.45,0.0069916598
0.7,0.5,0.0068042795
0.7,0.55,0.006555889
0.7,0.6,0.0062507847
0.7,0.65,0.005917412
0.7,0.7,0.0055649644
0.7,0.75,0.0052074706
0.7,0.8,0.0048658964
0.7,0.85,0.004548447
0.7,0.9,0.0042607747
0.65,0.2,0.0062765637
0.65,0.25,0.0062994277
0.65,0.3,0.0062905345
0.65,0.35,0.006236228
0.65,0.4,0.0061339713
0.65,0.45,0.005979332
0.65,0.5,0.005777387
0.65,0.55,0.0055263974
0.65,0.6,0.0052330126
0.65,0.65,0.004923931
0.65,0.7,0.0046074586
0.65,0.75,0.004293919
0.65,0.8,0.0039998
0.65,0.85,0.0037296226
0.65,0.9,0.0034875015
0.6,0.2,0.0050237095
0.6,0.25,0.005031991
0.6,0.3,0.0049979487
0.6,0.35,0.0049124695
0.6,0.4,0.004774199
0.6,0.45,0.004591629
0.6,0.5,0.0043781707
0.6,0.55,0.0041344403
0.6,0.6,0.0038713126
0.6,0.65,0.0036089963
0.6,0.7,0.0033552165
0.6,0.75,0.0031124498
0.6,0.8,0.0028922248
0.6,0.85,0.0026955025
0.6,0.9,0.0025229917
0.55,0.2,0.0035076044
0.55,0.25,0.0034915055
0.55,0.3,0.0034177434
0.55,0.35,0.0032887629
0.55,0.4,0.0031051855
0.55,0.45,0.0028940025
0.55,0.5,0.0026709356
0.55,0.55,0.0024435555
0.55,0.6,0.0022250854
0.55,0.65,0.002027129
0.55,0.7,0.0018547917
0.55,0.75,0.0017027032
0.55,0.8,0.0015753667
0.55,0.85,0.0014706263
0.55,0.9,0.0013846616
0.5,0.2,0.0020695608
0.5,0.25,0.0020117173
0.5,0.3,0.0018818522
0.5,0.35,0.0016916814
0.5,0.4,0.0014511517
0.5,0.45,0.0012022626
0.5,0.5,0.0009687172
0.5,0.55,0.0007614911
0.5,0.6,0.0005892691
0.5,0.65,0.0004607008
0.5,0.7,0.0003738383
0.5,0.75,0.00031385105
0.5,0.8,0.00027993222
0.5,0.85,0.00026786752
0.5,0.9,0.0002664066
0.45,0.2,0.0008180074
0.45,0.25,0.0006926922
0.45,0.3,0.00048218755
0.45,0.35,0.00021965204
0.45,0.4,-8.6039596e-05
0.45,0.45,-0.00037026918
0.45,0.5,-0.0006093709
0.45,0.55,-0.0007895311
0.45,0.6,-0.0009080054
0.45,0.65,-0.00096115243
0.45,0.7,-0.0009608375
0.45,0.75,-0.0009288054
0.45,0.8,-0.0008696526
